avg_rtt,max_rtt,std_rtt,moving_avg,rtt_change_rate,is_anomaly
3.22,3.91,0.65,3.22,44.87,0
3.1,3.81,0.61,3.1,28.08,0
3.2,3.81,0.47,3.2,7.3,0
3.22,3.81,0.46,3.22,15.99,0
3.2,3.81,0.45,3.2,34.41,0
3.17,3.81,0.44,3.17,3.92,0
3.06,3.81,0.47,3.06,23.51,0
2.94,3.81,0.44,2.94,2.87,0
3.01,4.02,0.54,3.01,60.16,0
3.11,4.02,0.56,3.11,8.21,0
2.98,4.02,0.53,2.98,32.52,0
2.95,4.02,0.56,2.95,3.61,0
2.95,4.02,0.56,2.95,23.33,0
2.97,4.02,0.54,2.97,10.81,0
2.91,4.02,0.53,2.91,5.3,0
2.87,4.02,0.52,2.87,0.36,0
3.03,4.05,0.61,3.03,46.21,0
3.13,4.05,0.59,3.13,14.07,0
2.98,4.05,0.54,2.98,27.87,0
3.0,4.05,0.57,3.0,56.57,0
3.17,4.18,0.64,3.17,6.36,0
3.21,4.18,0.6,3.21,32.54,0
3.3,4.18,0.63,3.3,37.94,0
3.33,4.18,0.6,3.33,24.42,0
3.32,4.18,0.62,3.32,12.24,0
3.37,4.18,0.6,3.37,28.68,0
3.26,4.18,0.56,3.26,12.05,0
3.43,5.18,0.81,3.43,77.4,0
3.37,5.18,0.89,3.37,63.13,0
3.25,5.18,0.89,3.25,44.5,0
3.07,5.18,0.86,3.07,12.32,0
3.14,5.18,0.86,3.14,44.21,0
2.94,5.18,0.9,2.94,45.27,0
2.98,5.18,0.9,2.98,71.2,0
3.11,5.18,0.93,3.11,18.96,0
2.98,5.18,0.97,2.98,46.53,0
3.02,5.18,0.98,3.02,58.65,0
2.74,3.89,0.67,2.74,26.97,0
2.94,3.92,0.69,2.94,62.66,0
2.94,3.92,0.69,2.94,29.59,0
3.0,3.92,0.67,3.0,6.88,0
2.88,3.92,0.68,2.88,23.05,0
2.94,3.92,0.61,2.94,11.45,0
2.82,3.92,0.66,2.82,19.37,0
2.9,4.74,0.82,2.9,132.35,0
3.05,4.74,0.8,3.05,23.63,0
2.93,4.74,0.84,2.93,41.71,0
3.09,4.74,0.87,3.09,86.26,0
2.93,4.74,0.84,2.93,39.19,0
2.94,4.74,0.84,2.94,17.99,0
2.95,4.74,0.84,2.95,7.09,0
3.04,4.74,0.81,3.04,4.97,0
3.08,4.74,0.8,3.08,6.62,0
3.02,4.74,0.89,3.02,51.01,0
2.94,3.94,0.76,2.94,171.72,0
2.97,3.94,0.79,2.97,0.51,0
3.12,3.94,0.75,3.12,7.91,0
2.94,3.94,0.75,2.94,41.0,0
2.92,3.94,0.77,2.92,2.82,0
2.9,3.94,0.77,2.9,19.18,0
2.84,3.94,0.78,2.84,5.75,0
2.75,3.94,0.8,2.75,8.94,0
2.7,3.94,0.8,2.7,8.04,0
2.81,3.94,0.68,2.81,8.26,0
2.72,3.92,0.58,2.72,16.03,0
2.6,3.61,0.42,2.6,11.18,0
2.53,3.04,0.28,2.53,7.04,0
2.6,3.04,0.27,2.6,1.04,0
2.65,3.04,0.23,2.65,6.99,0
2.68,3.04,0.24,2.68,9.02,0
2.66,3.04,0.26,2.66,21.38,0
2.73,3.04,0.23,2.73,26.32,0
2.8,3.2,0.24,2.8,11.11,0
2.89,3.46,0.3,2.89,8.12,0
2.8,3.46,0.36,2.8,36.71,0
2.79,3.46,0.36,2.79,19.63,0
2.88,3.78,0.47,2.88,44.27,0
2.89,3.78,0.47,2.89,22.49,0
2.96,3.78,0.48,2.96,15.7,0
2.95,3.78,0.49,2.95,18.88,0
2.95,3.78,0.49,2.95,16.36,0
2.91,3.78,0.5,2.91,9.57,0
2.86,3.78,0.5,2.86,5.56,0
2.81,3.78,0.46,2.81,11.28,0
2.82,3.78,0.45,2.82,24.32,0
2.79,3.78,0.47,2.79,6.25,0
2.74,3.39,0.37,2.74,35.29,0
2.76,3.39,0.39,2.76,0.93,0
2.69,3.22,0.33,2.69,16.93,0
2.67,3.22,0.33,2.67,3.77,0
2.76,3.22,0.34,2.76,25.49,0
2.82,3.22,0.35,2.82,1.56,0
2.84,3.22,0.35,2.84,9.52,0
2.85,3.22,0.35,2.85,6.67,0
2.82,3.22,0.39,2.82,33.55,0
2.92,3.3,0.38,2.92,63.37,0
2.83,3.3,0.4,2.83,28.18,0
2.74,3.3,0.42,2.74,5.06,0
2.81,3.39,0.46,2.81,50.67,0
2.88,3.39,0.47,2.88,4.13,0
2.87,3.39,0.46,2.87,4.62,0
2.92,3.64,0.51,2.92,17.42,0
2.82,3.64,0.6,2.82,49.18,0
2.87,3.64,0.64,2.87,92.97,0
2.89,3.64,0.63,2.89,39.5,0
2.78,3.64,0.64,2.78,2.78,0
2.82,3.64,0.62,2.82,27.03,0
2.93,3.64,0.6,2.93,15.6,0
2.99,4.01,0.68,2.99,23.01,0
2.99,4.01,0.67,2.99,19.45,0
2.97,4.01,0.67,2.97,8.05,0
2.91,4.01,0.64,2.91,2.02,0
3.03,4.01,0.53,3.03,0.0,0
3.11,4.36,0.65,3.11,43.89,0
3.26,4.36,0.58,3.26,15.6,0
3.29,4.36,0.53,3.29,30.98,0
3.35,4.36,0.51,3.35,34.25,0
3.37,4.36,0.51,3.37,1.76,0
3.3,4.36,0.46,3.3,6.05,0
