avg_rtt,max_rtt,std_rtt,moving_avg,rtt_change_rate,is_anomaly
0.75,1.12,0.18,0.75,5.6,0
0.77,1.12,0.18,0.77,25.17,0
0.77,1.12,0.18,0.77,1.42,0
0.77,1.12,0.18,0.77,23.56,0
0.85,1.25,0.21,0.85,24.93,0
0.79,1.25,0.2,0.79,54.03,0
0.83,1.25,0.18,0.83,58.54,0
0.81,1.25,0.2,0.81,37.24,0
0.81,1.25,0.2,0.81,37.49,0
0.81,1.25,0.2,0.81,6.44,0
0.83,1.25,0.19,0.83,17.14,0
0.82,1.25,0.19,0.82,22.33,0
0.81,1.25,0.2,0.81,5.99,0
0.79,1.25,0.19,0.79,13.26,0
0.75,0.92,0.12,0.75,15.22,0
0.77,0.92,0.11,0.77,22.65,0
0.77,0.95,0.11,0.77,32.34,0
0.78,0.95,0.09,0.78,26.43,0
0.8,0.95,0.1,0.8,29.86,0
0.79,0.95,0.11,0.79,27.98,0
0.77,0.95,0.11,0.77,2.23,0
0.76,0.95,0.12,0.76,7.64,0
0.77,0.95,0.12,0.77,40.96,0
0.77,0.95,0.13,0.77,3.16,0
0.77,0.95,0.12,0.77,2.45,0
0.76,0.95,0.12,0.76,21.36,0
0.74,0.9,0.1,0.74,13.3,0
0.76,0.9,0.11,0.76,18.42,0
0.74,0.88,0.1,0.74,19.86,0
0.74,0.88,0.1,0.74,3.55,0
0.76,0.88,0.1,0.76,28.5,0
0.78,0.88,0.08,0.78,17.84,0
0.76,0.88,0.08,0.76,3.88,0
0.76,0.88,0.08,0.76,11.43,0
0.77,0.99,0.1,0.77,29.08,0
0.77,0.99,0.1,0.77,31.36,0
0.77,0.99,0.11,0.77,1.71,0
0.75,0.99,0.1,0.75,1.35,0
0.76,0.99,0.11,0.76,31.19,0
0.81,1.13,0.15,0.81,26.35,0
0.78,1.13,0.16,0.78,44.42,0
0.79,1.13,0.15,0.79,24.48,0
0.86,1.34,0.22,0.86,72.43,0
0.86,1.34,0.22,0.86,39.72,0
0.86,1.34,0.22,0.86,27.37,0
0.88,1.34,0.22,0.88,18.14,0
0.89,1.34,0.2,0.89,2.43,0
0.89,1.34,0.21,0.89,20.36,0
0.88,1.34,0.21,0.88,20.11,0
0.84,1.34,0.2,0.84,13.75,0
0.85,1.34,0.19,0.85,4.53,0
0.84,1.34,0.2,0.84,2.35,0
0.76,1.03,0.12,0.76,16.4,0
0.74,1.03,0.13,0.74,1.23,0
0.78,1.48,0.25,0.78,159.23,0
0.79,1.48,0.25,0.79,40.28,0
0.77,1.48,0.26,0.77,29.38,0
0.76,1.48,0.26,0.76,14.36,0
0.74,1.48,0.27,0.74,10.32,0
0.94,2.72,0.65,0.94,360.85,0
0.97,2.72,0.65,0.97,64.54,0
0.98,2.72,0.64,0.98,18.16,0
0.99,2.72,0.63,0.99,3.5,0
1.01,2.72,0.62,1.01,2.41,0
0.95,2.72,0.61,0.95,1.8,0
0.94,2.72,0.61,0.94,4.61,0
0.98,2.72,0.6,0.98,23.46,0
0.99,2.72,0.59,0.99,39.84,0
0.98,2.72,0.6,0.98,22.79,0
0.78,1.03,0.15,0.78,57.24,0
0.77,1.03,0.14,0.77,10.42,0
0.8,1.13,0.17,0.8,36.28,0
0.82,1.13,0.18,0.82,13.64,0
0.8,1.13,0.19,0.8,37.52,0
0.79,1.13,0.2,0.79,5.91,0
0.78,1.13,0.2,0.78,21.17,0
0.78,1.13,0.19,0.78,19.39,0
0.81,1.13,0.18,0.81,0.54,0
0.84,1.13,0.15,0.84,13.27,0
0.83,1.13,0.16,0.83,21.2,0
0.86,1.13,0.18,0.86,77.61,0
0.81,1.13,0.17,0.81,41.71,0
0.81,1.13,0.17,0.81,51.89,0
0.83,1.13,0.16,0.83,18.16,0
0.87,1.13,0.15,0.87,22.36,0
0.86,1.13,0.16,0.86,33.71,0
0.83,1.13,0.17,0.83,2.12,0
0.92,1.88,0.36,0.92,190.22,0
0.94,1.88,0.36,0.94,45.79,0
0.96,1.88,0.35,0.96,22.08,0
0.92,1.88,0.35,0.92,5.04,0
0.98,1.88,0.35,0.98,68.0,0
0.95,1.88,0.37,0.95,50.87,0
0.97,1.88,0.36,0.97,60.73,0
0.93,1.88,0.37,0.93,34.6,0
0.92,1.88,0.38,0.92,8.19,0
0.95,1.88,0.37,0.95,48.81,0
0.83,1.27,0.21,0.83,26.41,0
0.8,1.27,0.2,0.8,18.65,0
0.8,1.27,0.2,0.8,5.86,0
0.79,1.27,0.2,0.79,10.89,0
0.73,1.0,0.12,0.73,1.05,0
0.74,1.0,0.12,0.74,13.79,0
0.72,0.89,0.09,0.72,10.57,0
0.73,0.89,0.09,0.73,0.96,0
0.73,0.89,0.09,0.73,24.11,0
0.73,0.89,0.09,0.73,45.1,0
0.74,0.89,0.08,0.74,21.65,0
0.72,0.89,0.09,0.72,10.91,0
0.72,0.89,0.09,0.72,14.51,0
0.74,0.89,0.09,0.74,16.39,0
0.74,0.89,0.09,0.74,20.85,0
0.73,0.89,0.09,0.73,1.93,0
0.71,0.89,0.09,0.71,3.41,0
0.69,0.89,0.09,0.69,0.88,0
0.7,0.89,0.09,0.7,14.78,0
0.68,0.83,0.06,0.68,0.8,0
0.67,0.83,0.07,0.67,22.98,0
0.69,0.88,0.09,0.69,59.4,0
0.7,0.88,0.1,0.7,8.88,0
0.68,0.88,0.1,0.68,28.19,0
0.69,0.88,0.1,0.69,35.14,0
0.72,0.95,0.12,0.72,22.67,0
0.72,0.95,0.13,0.72,36.41,0
0.73,0.95,0.12,0.73,18.8,0
0.77,1.13,0.17,0.77,57.98,0
0.77,1.13,0.17,0.77,35.48,0
0.79,1.13,0.16,0.79,0.82,0
0.84,1.36,0.23,0.84,88.06,0
0.87,1.36,0.24,0.87,19.97,0
0.9,1.36,0.22,0.9,14.62,0
0.92,1.36,0.22,0.92,6.19,0
1.09,2.64,0.56,1.09,166.67,0
1.2,2.64,0.56,1.2,38.02,0
1.2,2.64,0.56,1.2,55.94,0
1.16,2.64,0.57,1.16,12.74,0
1.16,2.64,0.57,1.16,13.09,0
1.17,2.64,0.56,1.17,19.42,0
1.35,3.14,0.82,1.35,272.57,0
1.29,3.14,0.85,1.29,83.5,0
1.28,3.14,0.86,1.28,50.28,0
1.23,3.14,0.89,1.23,40.43,0
1.04,3.14,0.76,1.04,61.15,0
0.92,3.14,0.75,0.92,34.82,0
0.9,3.14,0.76,0.9,11.59,0
0.88,3.14,0.77,0.88,1.01,0
0.9,3.14,0.76,0.9,68.6,0
0.87,3.14,0.77,0.87,32.23,0
0.62,0.91,0.14,0.62,9.88,0
0.64,0.91,0.14,0.64,33.63,0
0.66,1.02,0.18,0.66,37.82,0
0.78,1.68,0.34,0.78,64.97,0
0.81,1.68,0.35,0.81,37.83,0
0.84,1.68,0.33,0.84,25.55,0
0.86,1.68,0.32,0.86,3.18,0
0.93,1.68,0.32,0.93,61.02,0
1.12,2.76,0.63,1.12,127.48,0
1.44,3.8,1.0,1.44,37.45,0
1.65,3.8,1.02,1.65,28.83,0
1.74,3.8,0.97,1.74,38.7,0
1.82,3.8,0.94,1.82,9.92,0
1.72,3.8,1.0,1.72,63.97,0
1.88,3.8,1.01,1.88,303.38,0
1.91,3.8,0.98,1.91,59.98,0
2.05,3.8,0.91,2.05,105.02,0
2.14,3.8,0.86,2.14,2.69,0
2.07,3.8,0.84,2.07,2.86,0
1.81,2.7,0.64,1.81,40.03,0
1.65,2.65,0.59,1.65,14.03,0
1.72,2.65,0.63,1.72,123.98,0
1.66,2.65,0.65,1.66,46.39,0
1.71,2.65,0.59,1.71,11.66,0
1.52,2.37,0.56,1.52,32.92,0
1.51,2.37,0.56,1.51,30.97,0
1.41,2.37,0.52,1.41,19.66,0
1.35,2.37,0.47,1.35,20.79,0
1.27,2.37,0.41,1.27,8.99,0
1.44,2.9,0.64,1.44,123.43,0
1.54,2.9,0.65,1.54,26.71,0
1.4,2.9,0.61,1.4,54.09,0
1.42,2.9,0.61,1.42,42.53,0
1.52,2.9,0.64,1.52,56.28,0
1.63,2.9,0.59,1.63,13.7,0
1.71,2.9,0.55,1.71,7.73,0
1.75,2.9,0.52,1.75,9.74,0
1.71,2.9,0.55,1.71,29.57,0
1.74,2.9,0.54,1.74,40.57,0
1.6,2.17,0.37,1.6,0.59,0
1.53,2.17,0.33,1.53,7.52,0
1.56,2.17,0.3,1.56,14.13,0
1.48,2.17,0.41,1.48,50.74,0
1.45,1.91,0.37,1.45,218.11,0
1.36,1.91,0.37,1.36,49.99,0
1.29,1.91,0.36,1.29,4.38,0
1.26,1.91,0.35,1.26,32.93,0
1.27,1.91,0.35,1.27,14.27,0
1.26,1.91,0.35,1.26,30.19,0
1.19,1.91,0.36,1.19,45.48,0
1.13,1.91,0.36,1.13,7.76,0
1.22,2.1,0.46,1.22,141.42,0
1.27,2.1,0.42,1.27,49.6,0
1.15,2.1,0.38,1.15,29.58,0
1.13,2.1,0.4,1.13,1.44,0
1.12,2.1,0.4,1.12,25.39,0
1.08,2.1,0.4,1.08,6.86,0
1.06,2.1,0.4,1.06,4.99,0
1.0,2.1,0.38,1.0,0.51,0
1.07,2.1,0.39,1.07,55.99,0
1.09,2.1,0.39,1.09,24.39,0
1.06,1.78,0.31,1.06,61.65,0
1.06,1.78,0.31,1.06,38.04,0
1.1,1.78,0.29,1.1,2.06,0
1.28,2.57,0.51,1.28,138.13,0
1.35,2.57,0.51,1.35,34.99,0
1.45,2.57,0.5,1.45,13.37,0
1.86,5.02,1.15,1.86,164.9,0
1.92,5.02,1.12,1.92,69.44,0
1.85,5.02,1.17,1.85,53.78,0
1.88,5.02,1.15,1.88,102.35,0
1.77,5.02,1.21,1.77,54.55,0
1.77,5.02,1.21,1.77,80.18,0
1.74,5.02,1.23,1.74,34.75,0
1.59,5.02,1.21,1.59,41.26,0
1.51,5.02,1.23,1.51,25.7,0
1.39,5.02,1.25,1.39,10.02,0
0.98,1.53,0.3,0.98,20.82,0
0.9,1.43,0.24,0.9,12.22,0
1.01,1.78,0.35,1.01,131.66,0
1.09,2.31,0.51,1.09,29.7,0
1.11,2.31,0.5,1.11,65.88,0
1.04,2.31,0.53,1.04,35.15,0
1.08,2.31,0.53,1.08,135.7,0
1.05,2.31,0.54,1.05,39.75,0
1.06,2.31,0.53,1.06,28.69,0
1.05,2.31,0.54,1.05,31.19,0
1.01,2.31,0.56,1.01,23.15,0
1.21,2.73,0.75,1.21,453.63,0
1.25,2.73,0.8,1.25,18.81,0
1.22,2.73,0.76,1.22,10.86,0
1.37,2.73,0.81,1.37,17.13,0
1.49,2.73,0.76,1.49,27.77,0
1.59,2.73,0.78,1.59,33.32,0
1.67,2.73,0.72,1.67,31.86,0
1.64,2.73,0.77,1.64,61.37,0
1.68,2.73,0.72,1.68,87.76,0
1.83,2.73,0.6,1.83,76.42,0
1.71,2.31,0.52,1.71,21.98,0
1.58,2.31,0.54,1.58,37.1,0
1.44,2.31,0.6,1.44,41.71,0
1.3,2.23,0.53,1.3,71.21,0
1.33,2.23,0.55,1.33,100.33,0
1.19,1.94,0.48,1.19,56.65,0
1.17,1.94,0.47,1.17,59.78,0
1.3,1.94,0.48,1.3,44.87,0
1.27,1.94,0.49,1.27,56.16,0
1.23,1.91,0.45,1.23,77.08,0
1.19,1.91,0.44,1.19,20.26,0
1.15,1.91,0.48,1.15,58.16,0
1.16,1.91,0.46,1.16,44.71,0
1.13,1.91,0.49,1.13,14.07,0
1.22,2.82,0.68,1.22,357.66,0
1.24,2.82,0.67,1.24,62.5,0
1.33,2.82,0.72,1.33,103.83,0
1.26,2.82,0.69,1.26,42.61,0
1.4,2.82,0.73,1.4,81.48,0
1.32,2.82,0.77,1.32,71.95,0
1.46,2.82,0.86,1.46,319.95,0
1.49,2.82,0.83,1.49,69.07,0
1.49,2.82,0.83,1.49,11.45,0
1.53,2.82,0.8,1.53,30.84,0
1.35,2.64,0.68,1.35,14.79,0
1.4,2.64,0.67,1.4,34.63,0
1.31,2.64,0.63,1.31,8.5,0
1.44,2.64,0.72,1.44,89.25,0
1.3,2.64,0.69,1.3,67.94,0
1.33,2.64,0.67,1.33,19.32,0
1.13,2.54,0.53,1.13,40.17,0
1.38,3.34,0.84,1.38,475.32,0
1.47,3.34,0.81,1.47,50.9,0
1.61,3.34,0.83,1.61,42.58,0
1.55,3.34,0.89,1.55,80.83,0
1.51,3.34,0.9,1.51,147.98,0
1.73,3.5,1.07,1.73,215.06,0
1.53,3.5,1.09,1.53,83.88,0
1.55,3.5,1.08,1.55,78.42,0
1.9,4.44,1.36,1.9,340.64,0
2.01,4.44,1.29,2.01,60.93,0
1.83,4.44,1.21,1.83,11.78,0
1.74,4.44,1.25,1.74,49.83,0
1.61,4.44,1.26,1.61,25.01,0
1.7,4.44,1.2,1.7,46.25,0
1.74,4.44,1.19,1.74,4.5,0
1.46,4.44,1.06,1.46,52.0,0
1.54,4.44,1.02,1.54,98.17,0
1.5,4.44,1.04,1.5,53.21,0
1.28,2.24,0.48,1.28,242.6,0
1.18,2.24,0.49,1.18,70.42,0
1.16,2.24,0.48,1.16,104.69,0
1.16,2.24,0.48,1.16,42.18,0
1.32,2.51,0.62,1.32,221.11,0
1.24,2.51,0.65,1.24,75.26,0
1.29,2.51,0.69,1.29,220.51,0
1.27,2.51,0.71,1.27,73.21,0
1.31,2.51,0.72,1.31,229.43,0
1.31,2.51,0.72,1.31,65.89,0
1.17,2.51,0.66,1.17,41.57,0
1.17,2.51,0.66,1.17,22.04,0
1.14,2.51,0.66,1.14,66.94,0
1.28,2.51,0.71,1.28,95.47,0
1.13,2.16,0.58,1.13,51.02,0
1.16,2.16,0.57,1.16,17.39,0
1.06,2.16,0.49,1.06,18.22,0
1.1,2.16,0.47,1.1,16.56,0
1.03,2.16,0.41,1.03,23.25,0
1.07,2.16,0.39,1.07,1.14,0
1.1,2.16,0.38,1.1,9.73,0
1.1,2.16,0.38,1.1,43.44,0
1.08,2.16,0.39,1.08,33.82,0
0.95,1.15,0.14,0.95,0.33,0
0.95,1.15,0.14,0.95,18.08,0
0.98,1.21,0.16,0.98,17.02,0
0.97,1.21,0.16,0.97,24.97,0
0.96,1.21,0.16,0.96,13.92,0
0.91,1.21,0.2,0.91,32.16,0
0.89,1.21,0.2,0.89,74.04,0
0.97,1.95,0.37,0.97,111.11,0
1.0,1.95,0.36,1.0,54.79,0
1.05,1.95,0.38,1.05,65.26,0
1.23,2.68,0.61,1.23,83.96,0
1.25,2.68,0.61,1.25,56.14,0
1.29,2.68,0.62,1.29,40.62,0
1.3,2.68,0.61,1.3,38.6,0
1.33,2.68,0.59,1.33,5.53,0
1.35,2.68,0.57,1.35,29.47,0
1.34,2.68,0.58,1.34,0.88,0
1.25,2.68,0.55,1.25,40.35,0
1.25,2.68,0.55,1.25,20.78,0
1.34,2.68,0.65,1.34,182.22,0
1.15,2.39,0.48,1.15,66.4,0
1.15,2.39,0.48,1.15,37.53,0
1.06,2.39,0.46,1.06,29.32,0
1.07,2.39,0.46,1.07,48.95,0
1.1,2.39,0.47,1.1,17.34,0
1.1,2.39,0.47,1.1,45.43,0
1.13,2.39,0.46,1.13,38.17,0
1.26,2.39,0.59,1.26,132.99,0
1.25,2.39,0.6,1.25,68.61,0
1.21,2.39,0.53,1.21,156.93,0
1.39,2.63,0.66,1.39,36.24,0
1.38,2.63,0.66,1.38,59.81,0
1.67,3.68,0.92,1.67,247.7,0
1.68,3.68,0.91,1.68,67.85,0
1.68,3.68,0.91,1.68,18.19,0
1.71,3.68,0.89,1.71,23.43,0
1.93,3.68,0.96,1.93,203.34,0
1.76,3.68,1.02,1.76,79.85,0
1.85,3.68,0.96,1.85,154.61,0
1.74,3.68,1.01,1.74,48.93,0
1.6,3.68,0.97,1.6,42.87,0
1.65,3.68,0.95,1.65,30.99,0
1.42,3.25,0.68,1.42,14.08,0
1.37,3.25,0.71,1.37,53.41,0
1.38,3.25,0.71,1.38,129.0,0
1.35,3.25,0.73,1.35,46.53,0
1.12,1.67,0.37,1.12,24.11,0
1.24,1.83,0.39,1.24,89.36,0
