2026-06-02 14:42:13.625018,1.71,1
2026-06-02 14:42:14.631583,1.89,1
2026-06-02 14:42:15.637371,0.67,1
2026-06-02 14:42:16.644465,0.68,1
2026-06-02 14:42:17.649093,0.79,1
2026-06-02 14:42:18.652857,0.32,1
2026-06-02 14:42:19.654961,0.47,1
2026-06-02 14:42:20.657613,0.49,1
2026-06-02 14:42:21.661178,0.64,1
2026-06-02 14:42:22.665852,0.74,1
2026-06-02 14:42:23.670133,0.99,1
2026-06-02 14:42:24.675763,0.74,1
2026-06-02 14:42:25.679856,0.63,0
2026-06-02 14:42:26.682930,0.6,1
2026-06-02 14:42:27.687771,0.99,1
2026-06-02 14:42:28.694238,0.44,1
2026-06-02 14:42:29.697822,1.32,1
2026-06-02 14:42:30.700943,0.59,1
2026-06-02 14:42:31.705313,1.23,1
2026-06-02 14:42:32.710244,0.68,1
2026-06-02 14:42:33.714858,0.46,1
2026-06-02 14:42:34.718821,0.65,1
2026-06-02 14:42:35.723760,0.68,1
2026-06-02 14:42:36.732104,1.89,1
2026-06-02 14:42:37.737159,0.89,1
2026-06-02 14:42:38.743084,0.5,1
2026-06-02 14:42:39.746668,0.67,1
2026-06-02 14:42:40.750902,0.71,1
2026-06-02 14:42:41.756263,0.93,0
2026-06-02 14:42:42.776708,0.45,1
2026-06-02 14:42:43.788262,0.7,1
2026-06-02 14:42:44.797432,0.72,1
2026-06-02 14:42:45.822186,1.0,1
2026-06-02 14:42:46.837134,0.59,1
2026-06-02 14:42:47.844706,0.51,1
2026-06-02 14:42:48.859173,0.99,1
2026-06-02 14:42:49.871018,0.77,1
2026-06-02 14:42:50.881113,0.61,1
2026-06-02 14:42:51.894122,0.61,1
2026-06-02 14:42:52.903507,0.57,1
2026-06-02 14:42:53.915531,0.87,1
2026-06-02 14:42:54.930470,0.71,1
2026-06-02 14:42:55.944899,0.76,1
2026-06-02 14:42:56.954118,0.94,1
2026-06-02 14:42:57.969601,0.97,1
2026-06-02 14:42:58.981263,0.87,1
2026-06-02 14:42:59.990759,0.71,1
2026-06-02 14:43:01.004817,0.9,1
2026-06-02 14:43:02.015986,0.52,1
2026-06-02 14:43:03.019078,1.13,0
2026-06-02 14:43:04.027367,0.7,1
2026-06-02 14:43:05.046101,0.64,1
2026-06-02 14:43:06.049728,0.67,1
2026-06-02 14:43:07.053831,0.49,1
2026-06-02 14:43:08.057991,1.33,1
2026-06-02 14:43:09.063885,1.72,1
2026-06-02 14:43:10.074548,1.01,1
2026-06-02 14:43:11.081626,1.08,1
