2026-09-04 12:19:20,2.49,0,0
2026-09-04 12:19:20,5.8,0,0
2026-09-04 12:19:20,3.51,0,0
2026-09-04 12:19:20,4.95,0,0
2026-09-04 12:19:20,2.72,0,0
2026-09-04 12:19:21,4.9,0,0
2026-09-04 12:19:21,4.29,0,0
2026-09-04 12:19:21,4.65,0,0
2026-09-04 12:19:21,3.75,0,0
2026-09-04 12:19:21,3.63,0,0
2026-09-04 12:19:21,3.06,0,0
2026-09-04 12:19:21,3.14,0,0
2026-09-04 12:19:21,3.41,0,0
2026-09-04 12:19:21,3.5,0,0
2026-09-04 12:19:21,3.56,0,0
2026-09-04 12:19:22,4.23,0,0
2026-09-04 12:19:22,4.98,0,0
2026-09-04 12:19:22,3.73,0,0
2026-09-04 12:19:22,3.48,0,0
2026-09-04 12:19:22,4.03,0,0
2026-09-04 12:19:22,3.25,0,0
2026-09-04 12:19:22,3.71,0,0
2026-09-04 12:19:22,4.17,0,0
2026-09-04 12:19:22,4.39,0,0
2026-09-04 12:19:23,2.77,0,0
2026-09-04 12:19:23,4.43,0,0
2026-09-04 12:19:23,5.14,0,0
2026-09-04 12:19:23,4.09,0,0
2026-09-04 12:19:23,3.24,0,0
2026-09-04 12:19:23,3.41,0,0
2026-09-04 12:19:23,2.75,0,0
2026-09-04 12:19:23,3.36,0,0
2026-09-04 12:19:23,2.94,0,0
2026-09-04 12:19:23,3.42,0,0
2026-09-04 12:19:24,3.81,0,0
2026-09-04 12:19:24,4.46,0,0
2026-09-04 12:19:24,3.8,0,0
2026-09-04 12:19:24,4.18,0,0
2026-09-04 12:19:24,3.25,0,0
2026-09-04 12:19:24,3.65,0,0
2026-09-04 12:19:24,3.03,0,0
2026-09-04 12:19:24,3.5,0,0
2026-09-04 12:19:24,4.79,0,0
2026-09-04 12:19:25,4.37,0,0
2026-09-04 12:19:25,3.49,0,0
2026-09-04 12:19:25,3.97,0,0
2026-09-04 12:19:25,4.08,0,0
2026-09-04 12:19:25,3.8,0,0
2026-09-04 12:19:25,3.87,0,0
2026-09-04 12:19:25,3.91,0,0
2026-09-04 12:19:25,4.47,0,0
2026-09-04 12:19:25,3.47,0,0
2026-09-04 12:19:25,5.23,0,0
2026-09-04 12:19:26,3.74,0,0
2026-09-04 12:19:26,3.3,0,0
2026-09-04 12:19:26,6.05,0,0
2026-09-04 12:19:26,3.86,0,0
2026-09-04 12:19:26,4.12,0,0
2026-09-04 12:19:26,4.49,0,0
2026-09-04 12:19:26,5.3,0,0
2026-09-04 12:19:26,3.66,0,0
2026-09-04 12:19:26,4.08,0,0
2026-09-04 12:19:27,3.58,0,0
2026-09-04 12:19:27,3.39,0,0
2026-09-04 12:19:27,3.65,0,0
